S0,x0,y0,z0,final_S,final_x,final_y,final_z,regime,dist_to_equilibrium
1.0,0.5,0.3,0.1,0.05506726861093786,0.804597094908717,0.28053367217281133,0.08154954427513784,P3,1.9454806169087708e-11
0.2,0.2,0.2,0.2,0.05506726861093776,0.8045970949087182,0.2805336721728102,0.08154954427513833,P3,1.9456119092520212e-11
0.8,1.0,0.5,0.3,0.0550672686109375,0.8045970949087214,0.2805336721728079,0.08154954427513975,P3,1.9459638881991278e-11
0.5,0.05,0.05,0.05,0.05506726861093803,0.8045970949087154,0.2805336721728065,0.0815495442751433,P3,1.945574416272718e-11
1.0,0.1,0.6,0.2,0.0550672686109375,0.8045970949087213,0.280533672172808,0.08154954427513943,P3,1.945940148832396e-11
0.05,0.8,0.28,0.08,0.055067268610938,0.8045970949087157,0.28053367217280634,0.08154954427514328,P3,1.9455939296509186e-11
