method,dt,diff_to_half_step,conv_order_est,regime_long,final_S,final_x,final_y,final_z,dist_to_equilibrium,exploded,clamps,inside_region,physical_ok
rk4,0.4,0.03498468819724628,nan,P3,0.18750368026856915,0.6842130695736973,0.2843659675969883,0.043844396360060246,0.18294283629366478,False,0,True,True
rk4,0.2,0.03197308591759628,0.12986563948042823,P3,0.05506726861093784,0.8045970949087172,0.280533672172808,0.08154954427514098,1.9456354812111904e-11,False,0,True,True
rk4,0.1,0.000231898648954817,7.107219769069418,P3,0.055067268610937845,0.8045970949087174,0.2805336721728084,0.08154954427514063,1.945640597686035e-11,False,0,True,True
rk4,0.05,6.573335419683138e-06,5.140725000831469,P3,0.05506726861093773,0.8045970949087188,0.2805336721728078,0.0815495442751408,1.9457682457507108e-11,False,0,True,True
rk4,0.025,3.316293562089898e-07,4.30898197717742,P3,0.05506726861093773,0.8045970949087187,0.2805336721728084,0.08154954427514008,1.9457272053476495e-11,False,0,True,True
rk4,0.0125,nan,nan,P3,0.05506726861093786,0.804597094908717,0.28053367217281133,0.08154954427513784,1.9454806169087708e-11,False,0,True,True
euler,0.4,0.2142772976825051,nan,P0,0.9999999999999999,0.0,0.0,1.8258502520261547e-130,1.2749995377841727,False,16,True,False
euler,0.2,0.18506967114242676,0.211410518487081,P0,0.9999999999999998,0.0,0.0,5.083395565107717e-109,1.2749995377841727,False,83,True,False
euler,0.1,0.007278469860147146,4.668289491225847,P3,0.055067268610937935,0.8045970949087164,0.2805336721728084,0.08154954427514086,1.945559773601201e-11,False,1,True,False
euler,0.05,0.002161475452035052,1.7516187354914774,P3,0.055067268610937824,0.8045970949087177,0.2805336721728085,0.08154954427514041,1.9456511369789437e-11,False,0,True,True
euler,0.025,0.0009975852824647348,1.1155043654538968,P3,0.05506726861093762,0.80459709490872,0.28053367217280767,0.08154954427514051,1.945866162141497e-11,False,0,True,True
euler,0.0125,nan,nan,P3,0.05506726861093767,0.8045970949087193,0.28053367217280945,0.0815495442751387,1.9457284029997213e-11,False,0,True,True
