t,S,x,y,z
0,0.5,0.2,0.1,0.05
0.1,0.527808555906,0.20970070463,0.0945591527614,0.0475074182411
0.2,0.551484072327,0.22046424785,0.0894636602791,0.0451192613644
0.3,0.57136560065,0.23229244978,0.0846914083953,0.0428333551884
0.4,0.587750778098,0.245196814494,0.0802215409191,0.0406473014157
0.5,0.600902289542,0.259195399111,0.0760344318226,0.0385585168476
0.6,0.611053200501,0.27431038178,0.0721116418605,0.0365642694282
0.7,0.618411508119,0.29056604324,0.068435866113,0.0346617110813
0.8,0.623164136969,0.307986981612,0.0649908767499,0.0328479073841
0.9,0.625480532481,0.326596443892,0.0617614638867,0.031119864177
1,0.625515956539,0.34641469865,0.0587333764552,0.0294745512463
1.1,0.62341455608,0.36745740299,0.0558932643695,0.0279089232446
1.2,0.619312250052,0.389733938707,0.0532286228237,0.0264199380281
1.3,0.613339458916,0.413245711301,0.0507277392516,0.0250045725976
1.4,0.605623681743,0.437984423237,0.04837964326,0.0236598368349
1.5,0.596291907474,0.463930350882,0.0461740596914,0.0223827852223
1.6,0.585472828444,0.49105067342,0.0441013648641,0.0211705267283
1.7,0.573298805804,0.519297921808,0.0421525459575,0.020020233037
1.8,0.559907518684,0.548608635707,0.0403191634541,0.0189291452872
1.9,0.545443213208,0.578902334875,0.0385933165096,0.0178945794786
2,0.530057456031,0.610080926277,0.0369676110927,0.0169139306935
2.1,0.513909292745,0.64202867603,0.0354351307162,0.0159846762684
2.2,0.497164717969,0.674612872224,0.0339894095597,0.0151043780415
2.3,0.47999538459,0.707685286477,0.0326244077745,0.0142706837916
2.4,0.462576517515,0.741084505235,0.0313344887438,0.0134813279721
2.5,0.445084053354,0.774639144367,0.030114398061,0.0127341318361
2.6,0.427691099685,0.808171883938,0.0289592439767,0.0120270030378
2.7,0.410563889684,0.841504169906,0.0278644790558,0.0113579347876
2.8,0.393857488953,0.874461336742,0.0268258827861,0.0107250046301
2.9,0.377711576877,0.906877824726,0.0258395448807,0.0101263729076
3,0.36224665891,0.938602115093,0.0249018490391,0.00956028096242
3.1,0.347561055915,0.969501000127,0.0240094569608,0.00902504912866
3.2,0.333728956329,0.999462851804,0.0231592924534,0.0085190745558
3.3,0.320799711147,1.0283996493,0.0223485255346,0.00804082890197
3.4,0.308798416214,1.0562476585,0.0215745564972,0.00758885593089
3.5,0.297727684504,1.08296680283,0.0208349999692,0.0071617690414
3.6,0.287570388359,1.108538898,0.0201276690647,0.00675824875523
3.7,0.278293068582,1.13296502163,0.0194505597626,0.0063770401852
