t,S,x,y,z
0,0.5,0.2,0.1,0.05
0.1,0.519480189079,0.203266862124,0.0823276905871,0.0611462732512
0.2,0.535769508084,0.208080241267,0.0638472414106,0.0733357908876
0.3,0.549063179018,0.214404837912,0.0454997126706,0.0856027874964
0.4,0.5595280615,0.222186015567,0.0289076348812,0.0962985762182
0.5,0.567318390686,0.231311019105,0.015996320489,0.10348335612
0.6,0.572592843437,0.241597009191,0.00777192765559,0.106157799229
0.7,0.575526151277,0.25283253189,0.00347484275032,0.105103118228
0.8,0.576309670729,0.26483324047,0.00151114566362,0.101932451575
0.9,0.575144947108,0.277456287744,0.00066306087817,0.0978717650992
1,0.572237581765,0.290584442775,0.000298693117322,0.0935519930548
1.1,0.567793747858,0.304109801069,0.000139060476086,0.0892461625174
1.2,0.562018380014,0.31792530967,6.70321501423e-05,0.0850632427122
1.3,0.55511387022,0.331921866533,3.3449981321e-05,0.0810434447321
1.4,0.547278664806,0.345988348674,1.7263540657e-05,0.0771987460712
1.5,0.538705561259,0.360013107009,9.20324945378e-06,0.0735295121143
1.6,0.529579714445,0.373886191606,5.06106279077e-06,0.0700313423628
1.7,0.520076465258,0.387501891866,2.86705473304e-06,0.0666979440427
1.8,0.510359151839,0.400761308986,1.67084767029e-06,0.0635223655155
1.9,0.500577076165,0.41357474138,1.00039710737e-06,0.0604975359322
2,0.490863786778,0.425863708662,6.14594887704e-07,0.0576165035046
2.1,0.481335807618,0.437562485027,3.8694756135e-07,0.0548725393279
2.2,0.472091899364,0.448619062694,2.49371971179e-07,0.0522591797404
2.3,0.463212889865,0.458995518169,1.64316579368e-07,0.0497702400063
2.4,0.454762060888,0.468667803609,1.10580714503e-07,0.047399814437
2.5,0.446786035504,0.477625027503,7.59255143393e-08,0.045142270098
2.6,0.439316078172,0.485868319482,5.31339825554e-08,0.0429922375559
2.7,0.432369700279,0.493409391469,3.786332612e-08,0.0409446003688
2.8,0.425952457466,0.50026891183,2.74493215716e-08,0.0389944841762
2.9,0.42005982997,0.506474802554,2.02271357378e-08,0.0371372458164
