t,S,x,y,z
0,0.5,0.2,0.1,0.05
0.1,0.52793387596,0.207111290223,0.0981781336219,0.0468302928815
0.2,0.551986640283,0.215088416008,0.0965024810756,0.0438583464325
0.3,0.57249938778,0.223906905886,0.0949755647011,0.041072270512
0.4,0.589772014857,0.233552995594,0.0935993699987,0.0384608501253
0.5,0.604069639141,0.244020326061,0.0923755770215,0.0360135093049
0.6,0.6156277721,0.255307500707,0.0913057357804,0.0337202772107
0.7,0.624656614991,0.267416188287,0.0903914019566,0.0315717561371
0.8,0.631344718491,0.280349574468,0.0896342439803,0.0295590912077
0.9,0.635862167173,0.294111035626,0.0890361291225,0.0276739415939
1,0.638363399599,0.308702952403,0.0885991939672,0.0259084531352
1.1,0.638989741388,0.32412560931,0.0883259030676,0.0242552322668
1.2,0.637871705388,0.34037614652,0.0882190984927,0.0227073211782
1.3,0.635131095994,0.357447544484,0.0882820421884,0.0212581741415
1.4,0.630882941441,0.375327633416,0.0885184525014,0.0199016349553
1.5,0.625237266958,0.393998129263,0.0889325357937,0.0186319154579
1.6,0.618300712371,0.413433706315,0.0895290137556,0.0174435750685
1.7,0.610177989352,0.433601124499,0.0903131467885,0.0163315013152
1.8,0.60097316618,0.454458436747,0.0912907536525,0.0152908913144
1.9,0.590790761387,0.475954308467,0.0924682274466,0.0143172341667
2,0.579736622525,0.498027486794,0.0938525479084,0.0134062942326
2.1,0.567918562861,0.520606461363,0.0954512899696,0.0125540952579
2.2,0.555446727684,0.543609360094,0.0972726284975,0.0117569053134
2.3,0.542433663832,0.566944122185,0.0993253391645,0.0110112225187
2.4,0.52899407163,0.590508985275,0.101618795433,0.0103137615185
2.5,0.515244228189,0.614193313931,0.104162961702,0.00966144068012
2.6,0.501301085172,0.637878781797,0.106968382714,0.00905136998262
2.7,0.487281062273,0.661440900243,0.110046169411,0.00848083956774
2.8,0.473298578889,0.684750862791,0.113407981417,0.0079473089239
2.9,0.459464388937,0.707677648967,0.117066006366,0.00744839667466
3,0.445883805057,0.73009030584,0.121032936195,0.00698187094399
3.1,0.432654915544,0.751860303682,0.125321940421,0.00654564027112
3.2,0.419866907237,0.772863847193,0.129946636193,0.00613774504826
3.3,0.407598607723,0.792984018603,0.134921054603,0.00575634945536
3.4,0.395917349162,0.812112635598,0.140259602432,0.00539973386633
3.5,0.384878233956,0.83015172578,0.145977018032,0.00506628770225
3.6,0.374523851459,0.847014548607,0.152088319678,0.00475450270738
3.7,0.364884458435,0.862626132156,0.158608744257,0.00446296662487
3.8,0.355978598816,0.876923331045,0.165553673818,0.00419035724999
3.9,0.347814105067,0.889854448329,0.172938547185,0.00393543683914
4,0.340389398372,0.901378493941,0.180778753627,0.00369704685456
4.1,0.333694990143,0.911464172084,0.189089505451,0.00347410302512
4.2,0.327715083923,0.92008869875,0.197885686374,0.00326559070498
4.3,0.322429183335,0.927236548859,0.207181672578,0.00307056051262
4.4,0.317813626023,0.932898222197,0.216991123526,0.00288812423423
4.5,0.313842982434,0.937069101375,0.22732673981,0.00271745097594
4.6,0.310491278816,0.939748456253,0.238199985634,0.00255776355066
4.7,0.307733023235,0.940938630349,0.249620773884,0.00240833508606
4.8,0.305544030139,0.940644427634,0.261597112234,0.0022684858409
4.9,0.303902051776,0.938872703944,0.274134709319,0.00213758021791
5,0.302787233605,0.935632156508,0.287236540786,0.0020150239619
5.1,0.302182415803,0.930933297667,0.300902375951,0.00190026153237
5.2,0.302073304824,0.92478859426,0.315128267008,0.00179277364069
5.3,0.302448538372,0.917212751743,0.329906004191,0.00169207494209
5.4,0.303299664918,0.908223121195,0.345222542075,0.00159771187352
5.5,0.30462105568,0.897840207232,0.361059404362,0.00150926062861
5.6,0.306409763303,0.886088255095,0.377392077024,0.00142632526167
5.7,0.308665337743,0.872995895225,0.394189402574,0.0013485359127
5.8,0.311389606384,0.858596823408,0.411412991524,0.00127554714626
5.9,0.314586422308,0.842930493725,0.429016670654,0.00120703639697
6,0.318261382077,0.826042800211,0.446945991497,0.00114270251506
6.1,0.322421512386,0.807986721224,0.465137826235,0.00108226440565
6.2,0.327074923633,0.788822898371,0.483520081803,0.00102545975577
6.3,0.332230427747,0.768620119459,0.502011566072,0.000972043843586
6.4,0.337897117674,0.747455672906,0.520522042086,0.000921788424413
6.5,0.344083906758,0.725415539584,0.53895250707,0.000874480688541
6.6,0.350799027809,0.702594387721,0.557195731637,0.000829922286216
6.7,0.358049494097,0.679095337835,0.575137090815,0.000787928415254
6.8,0.365840527678,0.65502946816,0.592655711587,0.000748326967126
