t,S,x,y,z
0,0.5,0.2,0.1,0.05
0.1,0.469966345344,0.260365156171,0.0926345552306,0.0479766480712
0.2,0.421912014725,0.336943968208,0.0869033298009,0.045960411211
0.3,0.355242490777,0.430837920927,0.082728012431,0.0439744647304
0.4,0.27321701599,0.539247693849,0.080023790628,0.0420380609998
0.5,0.186821745065,0.651488297905,0.0786605437267,0.0401664697652
0.6,0.115695006161,0.747891422718,0.0784127613244,0.0383706276582
0.7,0.0746242643195,0.813252726104,0.0789605757815,0.0366567269257
0.8,0.0577824360827,0.852900640758,0.0800097801771,0.0350266147239
0.9,0.0517004521401,0.880053778917,0.081395678168,0.0334793428943
1,0.0490827014682,0.901979741788,0.0830535968095,0.0320127096493
1.1,0.0475109643306,0.921157353368,0.0849603260764,0.0306240482257
1.2,0.0463202419422,0.938333660402,0.0871062291993,0.0293105184558
1.3,0.0453313336715,0.953770583585,0.089486360717,0.0280692161119
1.4,0.0444873085644,0.967603373108,0.0920979095679,0.0268972260909
1.5,0.0437622323752,0.979931002148,0.0949393684032,0.0257916561147
1.6,0.043139499641,0.990837952668,0.0980101518766,0.024749661059
1.7,0.0426065553694,1.00039982754,0.101310342185,0.0237684611996
1.8,0.0421533428812,1.0086852757,0.104840481557,0.0228453559039
1.9,0.0417716405878,1.01575702984,0.108601388969,0.0219777337458
2,0.0414546629736,1.02167267363,0.112593992282,0.021163079774
2.1,0.0411967768774,1.02648528612,0.116819170985,0.0203989805021
2.2,0.0409932868734,1.03024400934,0.121277606393,0.0196831270766
2.3,0.0408402685775,1.03299456044,0.12596963716,0.0190133169855
2.4,0.0407344370185,1.03477970129,0.130895118736,0.0183874546017
2.5,0.0406730412518,1.03563967416,0.136053286085,0.0178035507946
2.6,0.0406537788662,1.03561260942,0.141442619477,0.0172597218039
2.7,0.0406747257079,1.03473490928,0.147060713734,0.0167541875247
2.8,0.0407342773195,1.03304161004,0.152904151742,0.0162852693312
2.9,0.0408310994346,1.03056672395,0.158968383463,0.0158513875359
3,0.0409640854827,1.02734356132,0.16524761208,0.0154510585634
3.1,0.0411323195151,1.02340503201,0.17173468926,0.0150828919039
3.2,0.0413350433054,1.01878392537,0.178421021813,0.0147455868924
3.3,0.0415716266409,1.01351316682,0.185296492277,0.0144379293554
3.4,0.0418415400264,1.0076260489,0.192349396125,0.0141587881532
3.5,0.0421443291869,1.00115643433,0.199566398409,0.0139071116399
3.6,0.0424795908887,0.994138928397,0.206932512603,0.0136819240598
3.7,0.0428469497164,0.986609017921,0.214431104319,0.0134823218908
3.8,0.0432460355407,0.97860317423,0.222043922312,0.0133074701446
3.9,0.0436764615051,0.970158917689,0.229751158788,0.0131565986313
4,0.0441378024439,0.961314841855,0.237531540532,0.0130289981928
4.1,0.0446295737257,0.952110595854,0.245362451692,0.0129240169105
4.2,0.0451512105939,0.942586824311,0.253220088287,0.0128410562916
4.3,0.0457020481506,0.932785065026,0.26107964359,0.0127795674406
4.4,0.0462813022049,0.922747605574,0.268915522606,0.0127390472218
4.5,0.0468880512701,0.912517301038,0.27670158282,0.0127190344215
4.6,0.0475212200568,0.902137356184,0.284411397393,0.0127191059207
4.7,0.0481795648586,0.891651076455,0.292018536041,0.0127388728902
4.8,0.0488616612647,0.881101593136,0.299496857962,0.0127779770226
4.9,0.0495658946539,0.870531568945,0.306820810482,0.0128360868201
5,0.050290453928,0.85998289098,0.313965726617,0.0129128939538
5.1,0.0510333289212,0.849496358441,0.32090811447,0.0130081097183
5.2,0.0517923118761,0.839111372777,0.32762593141,0.0131214616024
5.3,0.0525650033086,0.828865637853,0.334098836288,0.0132526899983
5.4,0.0533488224854,0.818794877407,0.340308413493,0.013401545074
5.5,0.0541410226193,0.808932576507,0.3462383635,0.0135677838303
5.6,0.0549387107493,0.799309752851,0.351874655597,0.013751167365
5.7,0.0557388721146,0.789954762766,0.357205639686,0.0139514583637
5.8,0.056538398674,0.78089314559,0.362222115386,0.0141684188352
5.9,0.057334121255,0.772147508865,0.366917358007,0.0144018081049
6,0.0581228446676,0.763737455504,0.371287102304,0.014651381078
6.1,0.058901384979,0.755679552854,0.375329486161,0.0149168867784
6.2,0.0596666080369,0.74798734244,0.379044957446,0.0151980671664
6.3,0.0604154682522,0.740671388128,0.382436148185,0.0154946562321
6.4,0.0611450466155,0.733739359625,0.385507720916,0.0158063793593
6.5,0.0618525869241,0.727196147536,0.388266192499,0.0161329529476
6.6,0.0625355292482,0.721044005719,0.390719740933,0.0164740842795
6.7,0.0631915397495,0.715282716396,0.392878000698,0.0168294716133
6.8,0.0638185360976,0.709909773346,0.39475185198,0.0171988044796
6.9,0.0644147078811,0.704920578538,0.396353208747,0.0175817641602
7,0.0649785315935,0.700308647748,0.397694810185,0.0179780243211
7.1,0.0655087799642,0.696065820954,0.398790019388,0.0183872517749
7.2,0.066004525599,0.692182473677,0.399652632576,0.0188091073443
7.3,0.0664651390829,0.688647725842,0.40029670144,0.019243246802
7.4,0.0668902818702,0.68544964516,0.400736370545,0.0196893218584
7.5,0.067279894432,0.682575442534,0.400985731108,0.0201469811754
7.6,0.0676341802554,0.680011657389,0.401058691882,0.0206158713814
7.7,0.0679535863702,0.677744331338,0.400968867361,0.021095638069
7.8,0.0682387811356,0.675759168947,0.40072948308,0.0215859267556
7.9,0.0684906300386,0.674041684809,0.400353297434,0.022086383793
8,0.0687101702411,0.672577336445,0.399852539116,0.0225966572118
8.1,0.068898584581,0.671351642889,0.399238859103,0.0231163974912
8.2,0.069057175666,0.670350289083,0.398523295928,0.0236452582474
8.3,0.0691873406268,0.669559216407,0.397716252913,0.024182896833
8.4,0.0692905470068,0.668964699921,0.39682748599,0.0247289748472
8.5,0.0693683101729,0.668553412979,0.395866100738,0.0252831585539
8.6,0.0694221725384,0.668312480039,0.394840557309,0.0258451192101
8.7,0.0694536847992,0.668229518552,0.393758681981,0.0264145333052
8.8,0.0694643893009,0.668292670871,0.392627684156,0.0269910827172
8.9,0.0694558055801,0.668490627139,0.391454177721,0.0275744547881
9,0.0694294180613,0.668812640128,0.390244205799,0.0281643423265
9.1,0.0693866658371,0.669248532967,0.389003268016,0.0287604435419
9.2,0.0693289344193,0.669788700672,0.387736349527,0.0293624619181
9.3,0.0692575493194,0.670424106347,0.386447951137,0.0299701060322
9.4,0.0691737712949,0.671146272865,0.385142119959,0.0305830893276
9.5,0.0690787930901,0.671947270768,0.38382248014,0.0312011298457
9.6,0.0689737374913,0.672819703085,0.382492263256,0.0318239499256
9.7,0.0688596565214,0.673756687668,0.381154338079,0.0324512758768
9.8,0.068737531606,0.674751837605,0.379811239454,0.0330828376326
9.9,0.0686082745486,0.675799240202,0.378465196098,0.0337183683895
10,0.0684727291703,0.676893434944,0.377118157181,0.0343576042388
10.1,0.0683316734783,0.678029390817,0.375771817595,0.0350002837961
10.2,0.068185822246,0.679202483303,0.374427641835,0.0356461478327
10.3,0.0680358298966,0.680408471309,0.373086886475,0.0362949389148
10.4,0.067882293602,0.681643474262,0.371750621213,0.0369464010541
10.5,0.0677257565173,0.682903949551,0.37041974851,0.0376002793729
10.6,0.067566711085,0.68418667046,0.36909502184,0.0382563197889
10.7,0.0674056023555,0.685488704724,0.367777062591,0.03891426872
10.8,0.0672428312778,0.686807393786,0.366466375671,0.0395738728151
10.9,0.0670787579258,0.688140332845,0.365163363859,0.0402348787098
11,0.0669137046311,0.689485351718,0.363868340976,0.0408970328111
11.1,0.0667479590018,0.690840496586,0.362581543925,0.0415600811116
11.2,0.0665817768106,0.692204012609,0.361303143663,0.0422237690355
11.3,0.0664153847418,0.693574327446,0.360033255183,0.0428878413153
11.4,0.0662489829909,0.694950035663,0.358771946545,0.0435520419026
11.5,0.066082747711,0.696329884034,0.357519247037,0.0442161139107
11.6,0.0659168333076,0.697712757703,0.356275154514,0.0448797995912
11.7,0.0657513745808,0.699097667209,0.355039641977,0.0455428403426
11.8,0.0655864887188,0.700483736326,0.353812663448,0.0462049767526
11.9,0.0654222771469,0.70187019072,0.352594159189,0.0468659486717
12,0.065258827236,0.703256347364,0.351384060317,0.0475254953183
12.1,0.0650962138776,0.704641604704,0.350182292862,0.048183355414
12.2,0.0649345009305,0.706025433533,0.348988781314,0.0488392673482
12.3,0.0647737425467,0.70740736855,0.347803451695,0.0494929693705
12.4,0.0646139843819,0.708787000555,0.346626234204,0.05014419981
12.5,0.0644552646991,0.710163969274,0.345457065462,0.0507926973185
12.6,0.0642976153698,0.711537956758,0.344295890395,0.0514382011384
12.7,0.0641410627813,0.712908681335,0.343142663795,0.0520804513906
12.8,0.0639856286549,0.714275892095,0.341997351568,0.0527191893831
12.9,0.0638313307827,0.715639363858,0.340859931724,0.0533541579367
13,0.0636781836869,0.716998892613,0.339730395112,0.0539851017263
13.1,0.063526199209,0.71835429139,0.338608745932,0.0546117676361
13.2,0.0633753870335,0.719705386548,0.337495002055,0.0552339051263
13.3,0.0632257551509,0.721052014447,0.336389195149,0.0558512666083
13.4,0.0630773102655,0.722394018476,0.335291370662,0.0564636078278
