scenario,expected_equilibrium,nearest_equilibrium,outcome,final_S,final_x,final_y,final_z,target_S,target_x,target_y,target_z,target_distance,tail_mean_S,tail_mean_x,tail_mean_y,tail_mean_z,tail_amplitude_S,tail_amplitude_x,tail_amplitude_y,tail_amplitude_z,peak_count_y,peak_count_z,damping_ratio,negative_clamps,exploded
washout_P0,P0,P0,Complete organism washout,1,1.55632151023e-88,1.98418734639e-153,8.15644287696e-154,1,0,0,0,5.55111512313e-15,1,3.78216447147e-81,9.02098148524e-140,3.7082748417e-140,0,7.55073028044e-80,3.14694782108e-138,1.29362281168e-138,0,0,,0,False
prey_only_P1,P1,P1,Prey survives; both predators wash out,0.166666666667,1.66666666667,1.87727147842e-64,3.21838544434e-132,0.166666666667,1.66666666667,0,0,2.57072524931e-14,0.166666666667,1.66666666667,2.28791274173e-59,1.149652636e-120,0,0,3.28480816144e-58,3.43931942333e-119,0,0,,0,False
prey_first_predator_P2,P2,P2,Prey and first predator survive,0.62866613516,0.333334182304,0.40933320216,9.92868777319e-123,0.628666978781,0.333333333333,0.409332709116,0,1.29442588362e-06,0.628666883736,0.333333418974,0.40933278582,3.99730452145e-112,5.46276277558e-06,6.71251336626e-06,5.45501297083e-06,1.10595878266e-110,0,0,,0,False
coexistence_P3,P3,P3,All trophic levels coexist,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751,0.0550672686113,0.804597094891,0.280533672173,0.0815495442668,1.94484052479e-11,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751,0,0,0,0,0,0,,0,False
oscillatory_interior_response,P3,P3,damped oscillation around P3,0.377831750539,0.539608918464,0.00861824928952,0.000145879305756,0.377310779644,0.540993709021,0.00690789793439,0.0011927202237,0.00249203395363,0.377436056578,0.54075163949,0.00712766949205,0.00113462236283,0.00702777887646,0.0143904085256,0.0112328037817,0.00460295133605,23,20,0.425091521976,0,False
