t,S,x,y,z
0,0.5,0.2,0.1,0.05
0.1,0.54195766768,0.186367670025,0.0960799920551,0.047734042647
0.2,0.580111846022,0.173936919525,0.0921639864317,0.0455359474085
0.3,0.614843867684,0.162570158911,0.0882731099896,0.0434054696081
0.4,0.646488916949,0.152151457655,0.0844258789775,0.0413424412946
0.5,0.675343655227,0.14258168863,0.0806383402123,0.0393467232679
0.6,0.701672060344,0.133775099442,0.0769242170728,0.0374181642607
0.7,0.725710023637,0.12565681993,0.0732950629316,0.0355565669038
0.8,0.747669053583,0.118161000788,0.069760421529,0.0337616601112
0.9,0.767739317465,0.111229388352,0.0663279921621,0.0320330774968
1,0.786092179691,0.104810207884,0.0630037968611,0.0303703413923
1.1,0.802882348554,0.0988572700035,0.059792346593,0.0287728519924
1.2,0.818249712233,0.0933292420499,0.0566968037477,0.0272398811155
1.3,0.83232092381,0.0881890440026,0.053719138553,0.0257705700436
1.4,0.845210780469,0.0834033404234,0.0508602775489,0.0243639308915
1.5,0.857023431609,0.0789421079344,0.0481202427393,0.0230188509592
1.6,0.867853443102,0.0747782632413,0.0454982805087,0.0217340995311
1.7,0.877786739328,0.0708873405459,0.0429929798018,0.0205083366172
1.8,0.886901440432,0.0672472098804,0.0406023794142,0.0193401231609
1.9,0.895268609069,0.0638378298225,0.0383240645273,0.0182279322822
2,0.902952918409,0.060641029439,0.0361552528366,0.0171701611677
2.1,0.910013251239,0.0576403153276,0.0340928707883,0.0161651432712
2.2,0.916503238452,0.0548207003876,0.0321336205439,0.0152111605322
2.3,0.922471743982,0.0521685515319,0.0302740383666,0.0143064553692
2.4,0.927963302208,0.0496714539971,0.0285105451517,0.0134492422513
2.5,0.933018513059,0.0473180902635,0.0268394898329,0.0126377186897
2.6,0.937674399338,0.0450981318782,0.0252571863821,0.0118700755328
2.7,0.941964730215,0.0430021427036,0.0237599450882,0.0111445064799
2.8,0.945920314365,0.0410214923068,0.0223440987661,0.0104592167596
2.9,0.949569265808,0.0391482783627,0.0210060244977,0.00981243094547
3,0.952937245154,0.0373752570816,0.0197421614596,0.00920239990025
3.1,0.956047678668,0.0356957807875,0.0185490253412,0.00862740686097
3.2,0.958921957286,0.0341037418743,0.0174232198082,0.00808577268911
3.3,0.961579617514,0.0325935224558,0.0163614454187,0.00757586032195
3.4,0.964038505902,0.0311599491016,0.0153605063532,0.00709607846935
3.5,0.966314928667,0.0297982521191,0.0144173152787,0.00664488460581
3.6,0.968423787811,0.0285040289012,0.0135288966287,0.0062207873115
3.7,0.970378705022,0.0272732109112,0.0126923885452,0.00582234801768
3.8,0.972192134452,0.0261020339261,0.0119050436975,0.00544818221273
3.9,0.97387546541,0.0249870111963,0.0111642291644,0.00509696016399
4,0.975439115884,0.023924909221,0.0104674255422,0.00476740720945
4.1,0.976892617719,0.0229127258677,0.00981222541577,0.00445830367067
4.2,0.978244694221,0.0219476705957,0.00919633131527,0.00416848443589
4.3,0.979503330859,0.0210271465679,0.0086175532586,0.003896838259
4.4,0.980675839684,0.0201487344589,0.00807380596909,0.0036423068167
4.5,0.98176891805,0.0193101777865,0.00756310584253,0.00340388356302
4.6,0.982788702117,0.0185093696149,0.00708356772716,0.00318061241651
4.7,0.983740815635,0.0177443404899,0.0066334015705,0.0029715863125
4.8,0.984630414406,0.0170132474847,0.00621090897828,0.00277594564909
4.9,0.985462226823,0.0163143642451,0.00581447972374,0.00259287665281
5,0.986240590835,0.015646071936,0.00544258823895,0.00242160968662
5.1,0.986969487647,0.0150068510008,0.00509379011486,0.00226141752029
5.2,0.987652572462,0.0143952736535,0.00476671863195,0.00211161358061
5.3,0.988293202508,0.0138099970333,0.00446008133929,0.00197155019647
5.4,0.988894462609,0.0132497569577,0.00417265669691,0.00184061685177
5.5,0.989459188508,0.0127133622158,0.00390329079287,0.00171823845701
5.6,0.989989988143,0.0121996893511,0.00365089414454,0.00160387364886
5.7,0.990489261058,0.0117076778875,0.00341443859118,0.00149701312517
5.8,0.990959216118,0.0112363259559,0.00319295428318,0.00139717802165
5.9,0.991401887672,0.0107846862848,0.00298552677184,0.0013039183352
6,0.991819150303,0.0103518625208,0.0027912942024,0.00121681139755
6.1,0.992212732292,0.00993700584761,0.00260944461167,0.00113546040223
6.2,0.992584227914,0.00953931187832,0.00243921333103,0.00105949298683
6.3,0.992935108654,0.00915801779342,0.00227988049456,0.000988559871738
6.4,0.993266733457,0.00879239970433,0.00213076865155,0.000922333556234
