param,value,P0_exists,P1_exists,P2_exists,P3_exists,predicted_regime,theory_S,theory_x,theory_y,theory_z,sim_regime,sim_S,sim_x,sim_y,sim_z,agree
D3,0.05,True,True,True,True,P3,0.031227941344695864,1.3005447379992505,0.018241758241758242,0.24262991336567302,P3,0.03124298294547249,1.2999904562696494,0.01853874000282889,0.24166998316510208,True
D3,0.07500000000000001,True,True,True,True,P3,0.03187170240562409,1.2775028004938545,0.02751381215469614,0.23714599676301765,P3,0.031872283002819246,1.2774819462261242,0.02752947720119344,0.23708362169390412,True
D3,0.1,True,True,True,True,P3,0.03253624660283094,1.2546678563324263,0.03688888888888889,0.2315623023945951,P3,0.032536349966939125,1.254664402143485,0.036889947592446716,0.23156526653596943,True
D3,0.125,True,True,True,True,P3,0.03322229669356602,1.2320464769924082,0.04636871508379888,0.2258797294634723,P3,0.03322230481695941,1.232046214669655,0.04636882361738291,0.2258797751159103,True
D3,0.15000000000000002,True,True,True,True,P3,0.03393060126109049,1.2096449936359024,0.055955056179775295,0.22009927350812541,P3,0.03393060087853548,1.2096450053292653,0.055955053407600014,0.22009926197901014,True
D3,0.175,True,True,True,True,P3,0.034661936027987394,1.187469477403424,0.0656497175141243,0.2142220216411031,P3,0.03466193605939966,1.1874694764860598,0.06564971783859123,0.21422202207496008,True
D3,0.2,True,True,True,True,P3,0.03541710516583407,1.1655257220811248,0.07545454545454547,0.20824914756047772,P3,0.03541710516683178,1.165525722063126,0.07545454543411352,0.20824914757576,True
D3,0.22500000000000003,True,True,True,True,P3,0.036196942841343116,1.1438192259779263,0.08537142857142858,0.20218190530790667,P3,0.03619694283861803,1.14381922604183,0.08537142857000422,0.20218190532857233,True
D3,0.25,True,True,True,True,P3,0.037002314791607205,1.1223551773124067,0.09540229885057472,0.19602162314593974,P3,0.037002314789589145,1.1223551773557878,0.09540229885050396,0.19602162316080182,True
D3,0.275,True,True,True,True,P3,0.037834120132174576,1.1011384386570122,0.1055491329479769,0.1897696960953186,P3,0.03783412013170817,1.1011384387020589,0.1055491329479732,0.18976969611111547,True
D3,0.3,True,True,True,True,P3,0.038693293266987894,1.0801735344532277,0.11581395348837209,0.18342757846052235,P3,0.03869329326566739,1.0801735344746957,0.11581395348837431,0.18342757846819624,True
D3,0.325,True,True,True,True,P3,0.03958080597658409,1.0594646392283553,0.12619883040935673,0.176996775571397,P3,0.03958080597904494,1.0594646391823834,0.12619883040935953,0.17699677555462506,True
D3,0.35000000000000003,True,True,True,True,P3,0.04049766973184887,1.0390155674520458,0.1367058823529412,0.1704788350718491,P3,0.04049766973057497,1.0390155674720873,0.13670588235293718,0.17047883507931122,True
D3,0.375,True,True,True,True,P3,0.04144493813510053,1.0188297658347603,0.14733727810650887,0.16387533809423604,P3,0.04144493813678594,1.0188297658099743,0.14733727810650876,0.16387533808481908,True
D3,0.4,True,True,True,True,P3,0.04242370968131581,0.9989103058085133,0.15809523809523812,0.15718788952758558,P3,0.042423709678404614,0.9989103058573361,0.1580952380952363,0.1571878895465003,True
D3,0.425,True,True,True,True,P3,0.04343513064304716,0.9792598795466918,0.1689820359281437,0.15041810867670646,P3,0.04343513064530567,0.9792598795615994,0.16898203592814173,0.15041810868259836,True
D3,0.45,True,True,True,True,P3,0.04448039834096562,0.9598807959459901,0.18000000000000002,0.14356761902821918,P3,0.044480398340393884,0.9598807959635136,0.17999999999999794,0.14356761903528287,True
D3,0.47500000000000003,True,True,True,True,P3,0.04556076456356095,0.9407749797118921,0.19115151515151516,0.13663803838578586,P3,0.045560764564640935,0.9407749797024596,0.19115151515151332,0.1366380383819101,True
D3,0.5,True,True,True,True,P3,0.046677539405209245,0.921943971172221,0.20243902439024392,0.12963096853001635,P3,0.046677539407583034,0.9219439711832353,0.20243902439024228,0.12963096853463452,True
D3,0.525,True,True,True,True,P3,0.04783209536981303,0.9033889283569729,0.21386503067484666,0.12254798508679363,P3,0.04783209536995431,0.9033889283499617,0.2138650306748487,0.1225479850837957,True
D3,0.55,True,True,True,True,P3,0.04902587184915319,0.8851106299854734,0.2254320987654321,0.11539062713235303,P3,0.0490258718478365,0.8851106299960998,0.2254320987654321,0.11539062713698622,True
D3,0.5750000000000001,True,True,True,True,P3,0.05026038000869448,0.8671094805135742,0.23714285714285718,0.10816038709631792,P3,0.05026038001078806,0.8671094805243218,0.23714285714285663,0.10816038710109256,True
D3,0.6000000000000001,True,True,True,True,P3,0.05153720810994855,0.8493855160927344,0.24900000000000005,0.10085870056584142,P3,0.05153720810994097,0.8493855160562215,0.2490000000000021,0.10085870054929953,True
D3,0.6250000000000001,True,True,True,True,P3,0.05285802725848043,0.8319384117558088,0.26100628930817615,0.09348693619746118,P3,0.05285802725607786,0.8319384117798524,0.2610062893081772,0.0934869362085641,True
D3,0.6500000000000001,True,True,True,True,P3,0.05422459771216381,0.8147674904206157,0.2731645569620254,0.08604638610008175,P3,0.054224597712307566,0.8147674904127669,0.2731645569620243,0.08604638609638847,True
D3,0.675,True,True,True,True,P3,0.05563877575332299,0.7978717316319472,0.28547770700636943,0.07853825581921065,P3,0.05563877575121602,0.7978717316498998,0.28547770700637065,0.07853825582782736,True
D3,0.7000000000000001,True,True,True,True,P3,0.05710252113203751,0.7812497824601272,0.297948717948718,0.07096365510643157,P3,0.057102521132401385,0.7812497824589323,0.2979487179487176,0.07096365510584543,True
D3,0.7250000000000001,True,True,True,True,P3,0.05861790526250843,0.7648999680849443,0.31058064516129036,0.06332358840128785,P3,0.058617905263200154,0.7648999680809487,0.31058064516128786,0.06332358839929471,True
D3,0.7500000000000001,True,True,True,True,P3,0.060187120114278514,0.7488203035823857,0.32337662337662343,0.055618945799594706,P3,0.060187120113307964,0.7488203035911337,0.32337662337662193,0.055618945804035626,True
D3,0.7750000000000001,True,True,True,True,P3,0.06181248796201544,0.7330085058852839,0.33633986928104587,0.0478504940800529,P3,0.06181248796309194,0.7330085058723549,0.33633986928104403,0.047850494073361116,True
