param,value,P0_exists,P1_exists,P2_exists,P3_exists,predicted_regime,theory_S,theory_x,theory_y,theory_z,sim_regime,sim_S,sim_x,sim_y,sim_z,agree
D1,2.4000000000000004,True,True,False,False,P1,0.17000000000000007,0.34583333333333327,0.0,0.0,P1,0.17000000000000065,0.3458333333333327,9.954238178008097e-77,1.3763175644864812e-116,True
D1,2.5000000000000004,True,True,False,False,P1,0.18478260869565227,0.326086956521739,0.0,0.0,P1,0.1847826086956528,0.32608695652173864,2.0174749976430162e-82,1.2848303910346177e-116,True
D1,2.6,True,True,False,False,P1,0.20090909090909095,0.3073426573426573,0.0,0.0,P1,0.2009090909090917,0.30734265734265676,6.339823039272127e-88,1.209051643615988e-116,True
D1,2.7,True,True,False,False,P1,0.21857142857142864,0.28941798941798935,0.0,0.0,P1,0.21857142857142944,0.28941798941798885,2.805858691698704e-93,1.1451315382326014e-116,True
D1,2.8000000000000003,True,True,False,False,P1,0.2380000000000001,0.2721428571428571,0.0,0.0,P1,0.2380000000000011,0.27214285714285646,1.588651307212329e-98,1.0903963530770518e-116,True
D1,2.9000000000000004,True,True,False,False,P1,0.25947368421052647,0.25535390199637015,0.0,0.0,P1,0.2594736842105275,0.2553539019963698,1.042134697765581e-103,1.0429342113529272e-116,True
D1,3.0000000000000004,True,True,False,False,P1,0.2833333333333335,0.23888888888888882,0.0,0.0,P1,0.28333333333333416,0.23888888888888882,7.126652193003421e-109,1.0013456809086962e-116,True
D1,3.1,True,True,False,False,P1,0.31000000000000005,0.2225806451612903,0.0,0.0,P1,0.310000000000001,0.2225806451612902,4.5219581614614396e-114,9.645875105316471e-117,True
D1,3.2,True,True,False,False,P1,0.3400000000000001,0.20624999999999996,0.0,0.0,P1,0.3400000000000012,0.20624999999999982,2.3306063120482468e-119,9.318711621932933e-117,True
D1,3.3000000000000003,True,True,False,False,P1,0.37400000000000017,0.18969696969696964,0.0,0.0,P1,0.37400000000000155,0.18969696969696942,8.336645243683293e-125,9.025943706327419e-117,True
